fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,164850000,94801000,35983000,128867000,61076000,44588000,26357000,None,61076000,None,68444000,27010000,34066000,None,None,16488000,None,None,None,None,None,16488000,27010000,None,44588000,44588000,None
2020-03-31,USD,206659000,109237000,39369000,167290000,39313000,31798000,25345000,None,39313000,None,83892000,-18740000,58053000,None,None,7515000,-14498500,None,None,None,None,7515000,-18739000,None,31798000,31798000,None
2019-12-31,USD,221584000,111329000,39996000,181588000,97016000,69217000,25655000,None,97016000,None,85674000,26757000,70259000,None,400000,27799000,26586000,None,None,None,None,27799000,26757000,None,69217000,69217000,None
2019-09-30,USD,204974000,109925000,34867000,170107000,17358000,13071000,23969000,None,17358000,None,85956000,-42824000,60182000,None,400000,4287000,-42668000,None,None,None,None,4287000,-42824000,None,13071000,13071000,None
2019-06-30,USD,207666000,109868000,37073000,170593000,103138000,88923000,23790000,None,103138000,None,86078000,42413000,60725000,None,400000,14215000,42749000,None,None,None,None,14215000,42413000,None,88923000,88923000,None
2019-03-31,USD,207081000,106844000,34848000,172233000,98530000,73961000,25548000,None,98530000,None,81296000,33141000,65389000,None,400000,24569000,2769000,None,None,None,None,24569000,33141000,None,73961000,73961000,None
2018-12-31,USD,200563000,104185000,34023000,166540000,64510000,44862000,23965000,None,64510000,None,80220000,2155000,62355000,None,0,None,None,None,None,None,None,19648000,1903000,None,44862000,44862000,None
2018-09-30,USD,181778000,101612000,29846000,151932000,51833000,50127000,22717000,None,51833000,None,78895000,1513000,50320000,None,0,None,None,None,None,None,None,1706000,3252000,None,50127000,50127000,None
2018-06-30,USD,180010000,102412000,30850000,149160000,48487000,90066000,21273000,None,48487000,None,81139000,1739000,46748000,None,0,None,None,None,None,None,None,-41579000,1739000,None,90066000,90066000,None
2018-03-31,USD,174436000,96771000,30098000,144338000,48507000,36847000,21270000,0,48507000,0,75501000,940000,47567000,0,0,None,None,None,0,0,0,11660000,2412000,0,36847000,36847000,None
2017-12-31,USD,154022000,84262000,24994000,129028000,45654000,13446000,17706000,0,45654000,0,66556000,888000,44766000,0,0,None,None,None,0,0,0,32208000,130000,0,13446000,13446000,None
2017-09-30,USD,132823000,79470000,21627000,111196000,32484000,24503000,19390000,0,32484000,0,60080000,758000,31726000,0,0,None,None,None,0,0,0,7981000,44000,0,24503000,24503000,None
2017-06-30,USD,132468000,77528000,21862000,110606000,33792000,37374000,16931000,0,33792000,0,60597000,714000,33078000,0,0,None,None,None,0,0,0,-3582000,714000,0,37374000,37374000,None
2017-03-31,USD,124680000,76425000,19261000,105419000,29356000,14899000,16325000,0,29356000,0,60100000,362000,28994000,0,0,None,None,None,0,0,0,14457000,782000,0,14899000,14899000,None
2016-12-31,USD,114674000,70284000,18987000,95687000,25826000,15432000,16349000,0,25826000,0,53935000,423000,25403000,0,0,None,None,None,0,0,0,10394000,195000,0,15432000,15432000,None
2016-09-30,USD,102955000,71138000,17309000,85646000,14736000,8875000,18052000,0,14736000,0,53086000,228000,14508000,0,0,None,None,None,0,0,0,5861000,36000,0,8875000,8875000,None
2016-06-30,USD,102995000,66692000,15070000,87925000,21425000,12910000,15660000,0,21425000,0,51032000,192000,21233000,0,0,None,None,None,0,0,0,8515000,192000,0,12910000,12910000,None
2016-03-31,USD,93957000,59481000,14663000,79294000,20227000,10998000,14225000,0,20227000,0,45256000,414000,19813000,0,0,None,None,None,0,0,0,9229000,944000,0,10998000,10998000,None
2015-12-31,USD,85795000,55608000,12744000,73051000,17498000,10555000,13755000,0,17498000,0,41853000,55000,17443000,0,0,None,None,None,0,0,0,6943000,-359000,0,10555000,10555000,None
2015-09-30,USD,76359000,51398000,12144000,64215000,12966000,7735000,11569000,0,12966000,0,39829000,149000,12817000,0,0,None,None,None,0,0,0,5231000,33000,0,7735000,7735000,None
2015-06-30,USD,73432000,47533000,10868000,62564000,15147000,8859000,10210000,0,15147000,0,37323000,116000,15031000,0,0,None,None,None,0,0,0,6288000,116000,0,8859000,8859000,None
