fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,122965000,35518000,71066000,51899000,16872000,13302000,16040000,None,15573000,None,19478000,491000,16381000,None,1299000,2271000,70000,-1229000,None,None,None,2271000,421000,None,13302000,13302000,None
2020-03-31,USD,118991000,31846000,73442000,45549000,13565000,11221000,14606000,None,12262000,None,17240000,-138000,13703000,None,1303000,1041000,482000,-821000,None,None,None,1041000,-620000,None,11221000,11221000,None
2019-12-31,USD,107723000,31104000,63407000,44316000,13963000,9712000,13596000,None,12657000,None,17508000,751000,13212000,None,1306000,2945000,582000,-724000,None,None,None,2945000,169000,None,9712000,9712000,None
2019-09-30,USD,69453000,28694000,38872000,30581000,1684000,704000,12930000,None,376000,None,15764000,-203000,1887000,None,1308000,-328000,687000,-621000,None,None,None,-328000,-890000,None,704000,704000,None
2019-06-30,USD,74305000,29739000,42556000,31749000,2666000,556000,13720000,None,1355000,None,16019000,656000,2010000,None,1311000,799000,845000,-466000,None,None,None,799000,-189000,None,556000,556000,None
2019-03-31,USD,91477000,30410000,53971000,37506000,7764000,6062000,13685000,None,6534000,None,16725000,668000,7096000,None,1230000,472000,-389000,-389000,None,None,None,472000,-173000,None,6062000,6062000,None
2018-12-31,USD,105683000,32045000,62116000,43567000,11570000,8463000,14245000,0,10247000,0,17800000,48000,11522000,0,1323000,None,None,None,0,0,0,1784000,-1275000,0,8463000,8463000,None
2018-09-30,USD,95374000,29245000,55461000,39913000,10669000,8838000,12845000,0,9346000,0,16400000,1000,10668000,0,1323000,None,None,None,0,0,0,508000,-1322000,0,8838000,8838000,None
2018-06-30,USD,119333000,29733000,70333000,49000000,18766000,14669000,12553000,0,17639000,0,17180000,-501000,19267000,0,1127000,None,None,None,0,0,0,2970000,-1628000,0,14669000,14669000,None
2018-03-31,USD,122185000,28654000,75029000,47156000,18810000,13915000,12233000,0,17473000,0,16421000,308000,18502000,0,1337000,None,None,None,0,0,0,3558000,-1029000,0,13915000,13915000,None
2017-12-31,USD,116396000,25956000,79676000,36720000,11475000,91680000,10917000,0,10138000,0,15039000,711000,10764000,0,1337000,None,None,None,0,0,0,-81542000,-3031000,0,91680000,91680000,None
2017-09-30,USD,104482000,25916000,64731000,39751000,14192000,11841000,11003000,0,12855000,0,14913000,357000,13835000,0,1337000,None,None,None,0,0,0,1014000,229000,0,11841000,11841000,None
2017-06-30,USD,102790000,26532000,63728000,39062000,12657000,13932000,11256000,0,11321000,0,15276000,127000,12530000,0,1336000,None,None,None,0,0,0,-2611000,-13000,0,13932000,13932000,None
2017-03-31,USD,86893000,24001000,52179000,34714000,10628000,9506000,9895000,0,9517000,0,14106000,-85000,10713000,0,1111000,None,None,None,0,0,0,11000,-1196000,0,9506000,9506000,None
2016-12-31,USD,69358000,21082000,42411000,26947000,5530000,3965000,8795000,0,4184000,0,12287000,-335000,5865000,0,1346000,None,None,None,0,282000,0,219000,-4537000,0,3965000,3965000,None
2016-09-30,USD,65650000,20473000,41546000,24104000,3629000,2151000,8493000,0,2287000,0,11980000,-2000,3631000,0,1342000,None,None,None,0,0,0,136000,178000,0,2151000,2151000,None
2016-06-30,USD,64451000,20500000,39320000,25131000,4447000,2937000,8478000,0,3109000,0,12022000,-184000,4631000,0,1338000,None,None,None,0,0,0,172000,-470000,0,2937000,2937000,None
2016-03-31,USD,67521000,20920000,44105000,23416000,2491000,1948000,8636000,0,1444000,0,12002000,-5000,2496000,0,1047000,None,None,None,0,282000,0,-504000,-1052000,0,1948000,1948000,None
2015-12-31,USD,70458000,19567000,48485000,21973000,2404000,826000,7907000,0,1055000,0,11660000,-2000,2406000,0,1349000,None,None,None,0,18000,0,229000,-4097000,0,826000,826000,None
2015-09-30,USD,79317000,21487000,50138000,29179000,7532000,6101000,8581000,0,6258000,0,12906000,-160000,7692000,0,1274000,None,None,None,0,0,0,157000,-179000,0,6101000,6101000,None
2015-06-30,USD,78437000,19996000,51263000,27174000,7233000,5883000,7899000,0,5923000,0,12089000,55000,7178000,0,1310000,None,None,None,0,8000,0,40000,218000,0,5883000,5883000,None
