fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,44042000,11670000,27989000,16053000,4384000,3199000,None,None,4150000,None,11670000,1000,4383000,None,234000,951000,11000,-234000,None,None,None,951000,1000,None,3199000,3199000,None
2020-03-31,USD,35775000,11521000,22244000,13531000,1967000,1277000,None,None,1652000,None,11521000,-43000,2010000,None,315000,375000,7000,-315000,None,None,None,375000,-43000,None,1277000,1277000,None
2019-12-31,USD,33872342,10892510,21578484,12293858,1355676,976608,596000,None,1028164,None,10892510,-45672,1401348,None,327512,52556,11896,-325512,None,None,None,51556,-45672,None,976608,976608,None
2019-09-30,USD,36995000,11408000,23861000,13134000,1686000,1059000,596000,None,1217000,None,11408000,-40000,1726000,None,469000,158000,9000,-469000,None,None,None,158000,-40000,None,1059000,1059000,None
2019-06-30,USD,40220000,11003000,25449000,14771000,3754000,2671000,596000,None,3263000,None,11003000,-14000,3768000,None,491000,592000,11000,-491000,None,None,None,592000,-14000,None,2671000,2671000,None
2019-03-31,USD,31370000,10268000,19568000,11802000,1536000,807000,596000,None,1035000,None,10268000,2000,1534000,None,501000,228000,9000,-501000,None,None,None,228000,2000,None,807000,807000,None
2018-12-31,USD,31130395,10269076,19767413,11362982,1110448,591350,734000,0,598224,0,10269076,16542,1093906,0,512224,6870,None,None,0,0,0,6874,-495682,0,591350,591350,None
2018-09-30,USD,34731000,11077000,22281000,12450000,1350000,807000,0,0,854000,0,11077000,-23000,1373000,0,496000,None,None,None,0,0,0,47000,-519000,0,807000,807000,None
2018-06-30,USD,39751000,11087000,25039000,14712000,3551000,2436000,0,0,3106000,0,11087000,-74000,3625000,0,445000,None,None,None,0,0,0,670000,-519000,0,2436000,2436000,None
2018-03-31,USD,31709000,10759000,19585000,12124000,1378000,764000,0,0,973000,0,10759000,13000,1365000,0,405000,None,None,None,0,0,0,209000,-392000,0,764000,764000,None
2017-12-31,USD,30171349,9860220,19545076,10626273,746457,-654521,752000,0,368297,0,9860220,-19596,766053,0,378160,None,None,None,0,0,0,1022818,-1143756,0,-654521,-654521,None
2017-09-30,USD,33785000,10277000,21559000,12226000,1933000,1202000,0,0,1568000,0,10277000,-16000,1949000,0,365000,None,None,None,0,0,0,366000,-83000,0,1202000,1202000,None
2017-06-30,USD,38849000,10594000,24366000,14483000,3940000,2846000,0,0,3619000,0,10594000,51000,3889000,0,321000,None,None,None,0,0,0,773000,70000,0,2846000,2846000,None
2017-03-31,USD,27745000,9372000,17181000,10564000,1201000,659000,0,0,938000,0,9372000,9000,1192000,0,263000,None,None,None,0,0,0,279000,-146000,0,659000,659000,None
2016-12-31,USD,26376371,9106000,16563315,9813056,668210,545998,750000,0,441703,0,9106000,-38846,707056,0,226507,None,None,None,0,0,0,-104295,-497353,0,545998,545998,None
2016-09-30,USD,31913000,9723000,20050000,11863000,2075000,1473000,0,0,1828000,0,9723000,-65000,2140000,0,247000,None,None,None,0,0,0,355000,-327000,0,1473000,1473000,None
2016-06-30,USD,40997000,10054000,26303000,14694000,4629000,3267000,0,0,4418000,0,10054000,-11000,4640000,0,211000,None,None,None,0,0,0,1151000,-121000,0,3267000,3267000,None
2016-03-31,USD,25288000,8230000,16103000,9185000,993000,565000,0,0,809000,0,8230000,38000,955000,0,184000,None,None,None,0,0,0,244000,0,0,565000,565000,None
2015-12-31,USD,23117768,7612212,14851550,8266218,634609,439525,690000,0,489397,0,7612212,-19397,654006,0,145212,None,None,None,0,0,0,49872,-732609,0,439525,439525,None
2015-09-30,USD,29903000,8334000,19578000,10325000,1899000,1208000,0,0,1750000,0,8334000,-92000,1991000,0,149000,None,None,None,0,0,0,542000,0,0,1208000,1208000,None
2015-06-30,USD,33954000,8660000,21419000,12535000,3895000,2710000,0,0,3754000,0,8660000,20000,3875000,0,141000,None,None,None,0,0,0,1044000,0,0,2710000,2710000,None
